timestamp,message
1656267975381,"43%|████▎     | 70/163 [01:58<02:45,  1.78s/it]"
1656267977382,"44%|████▎     | 71/163 [02:00<02:39,  1.73s/it]"
1656267979382,"44%|████▍     | 72/163 [02:01<02:35,  1.71s/it]"
1656267980383,"45%|████▍     | 73/163 [02:03<02:34,  1.71s/it]"
1656267982383,"45%|████▌     | 74/163 [02:05<02:28,  1.67s/it]"
1656267983384,"46%|████▌     | 75/163 [02:06<02:25,  1.65s/it]"
1656267985384,"47%|████▋     | 76/163 [02:08<02:24,  1.66s/it]"
1656267987385,"47%|████▋     | 77/163 [02:10<02:22,  1.66s/it]"
1656267988386,"48%|████▊     | 78/163 [02:11<02:20,  1.65s/it]"
1656267990386,"48%|████▊     | 79/163 [02:13<02:19,  1.66s/it]"
1656267992387,"49%|████▉     | 80/163 [02:15<02:18,  1.67s/it]"
1656267994387,"50%|████▉     | 81/163 [02:17<02:22,  1.74s/it]"
1656267995388,"50%|█████     | 82/163 [02:18<02:20,  1.74s/it]"
1656267997388,"51%|█████     | 83/163 [02:20<02:18,  1.73s/it]"
1656267999389,"52%|█████▏    | 84/163 [02:22<02:23,  1.82s/it]"
1656268001390,"52%|█████▏    | 85/163 [02:24<02:20,  1.80s/it]"
1656268003390,"53%|█████▎    | 86/163 [02:25<02:17,  1.78s/it]"
1656268004391,"53%|█████▎    | 87/163 [02:27<02:13,  1.76s/it]"
1656268006391,"54%|█████▍    | 88/163 [02:29<02:10,  1.74s/it]"
1656268008392,"55%|█████▍    | 89/163 [02:31<02:06,  1.71s/it]"
1656268009392,"55%|█████▌    | 90/163 [02:32<02:04,  1.70s/it]"
1656268011393,"56%|█████▌    | 91/163 [02:34<02:02,  1.71s/it]"
1656268013394,"56%|█████▋    | 92/163 [02:36<02:03,  1.73s/it]"
1656268015394,"57%|█████▋    | 93/163 [02:37<02:01,  1.73s/it]"
1656268016395,"58%|█████▊    | 94/163 [02:39<01:58,  1.72s/it]"
1656268018395,"58%|█████▊    | 95/163 [02:41<01:56,  1.71s/it]"
1656268020396,"59%|█████▉    | 96/163 [02:42<01:53,  1.69s/it]"
1656268021396,"60%|█████▉    | 97/163 [02:44<01:52,  1.70s/it]"
1656268023397,"60%|██████    | 98/163 [02:46<01:50,  1.70s/it]"
1656268025398,"61%|██████    | 99/163 [02:48<01:51,  1.74s/it]"
1656268027398,"61%|██████▏   | 100/163 [02:49<01:49,  1.74s/it]"
1656268028399,"62%|██████▏   | 101/163 [02:51<01:44,  1.68s/it]"
1656268030399,"63%|██████▎   | 102/163 [02:53<01:41,  1.67s/it]"
1656268031400,"63%|██████▎   | 103/163 [02:54<01:38,  1.64s/it]"
1656268033400,"64%|██████▍   | 104/163 [02:56<01:36,  1.63s/it]"
1656268035401,"64%|██████▍   | 105/163 [02:57<01:34,  1.62s/it]"
1656268036401,"65%|██████▌   | 106/163 [02:59<01:31,  1.61s/it]"
1656268038402,"66%|██████▌   | 107/163 [03:01<01:30,  1.61s/it]"
1656268039403,"66%|██████▋   | 108/163 [03:02<01:28,  1.61s/it]"
1656268041403,"67%|██████▋   | 109/163 [03:04<01:26,  1.59s/it]"
1656268043404,"67%|██████▋   | 110/163 [03:05<01:24,  1.60s/it]"
1656268044404,"68%|██████▊   | 111/163 [03:07<01:23,  1.61s/it]"
1656268046405,"69%|██████▊   | 112/163 [03:09<01:21,  1.60s/it]"
1656268047405,"69%|██████▉   | 113/163 [03:10<01:19,  1.58s/it]"
1656268049406,"70%|██████▉   | 114/163 [03:12<01:18,  1.60s/it]"
1656268051407,"71%|███████   | 115/163 [03:14<01:19,  1.66s/it]"
1656268052407,"71%|███████   | 116/163 [03:15<01:17,  1.65s/it]"
1656268054408,"72%|███████▏  | 117/163 [03:17<01:15,  1.65s/it]"
1656268056408,"72%|███████▏  | 118/163 [03:19<01:15,  1.69s/it]"
1656268058409,"73%|███████▎  | 119/163 [03:21<01:17,  1.75s/it]"
1656268059410,"74%|███████▎  | 120/163 [03:22<01:12,  1.68s/it]"
1656268061410,"74%|███████▍  | 121/163 [03:24<01:10,  1.67s/it]"
1656268063411,"75%|███████▍  | 122/163 [03:25<01:08,  1.66s/it]"
1656268064411,"75%|███████▌  | 123/163 [03:27<01:05,  1.64s/it]"
1656268066412,"76%|███████▌  | 124/163 [03:29<01:03,  1.63s/it]"
1656268067412,"77%|███████▋  | 125/163 [03:30<01:01,  1.62s/it]"
1656268069413,"77%|███████▋  | 126/163 [03:32<01:03,  1.72s/it]"
1656268071414,"78%|███████▊  | 127/163 [03:34<01:01,  1.70s/it]"
1656268073414,"79%|███████▊  | 128/163 [03:35<00:58,  1.67s/it]"
1656268074415,"79%|███████▉  | 129/163 [03:37<00:57,  1.70s/it]"
1656268076415,"80%|███████▉  | 130/163 [03:39<00:55,  1.67s/it]"
1656268078416,"80%|████████  | 131/163 [03:40<00:53,  1.68s/it]"
1656268079416,"81%|████████  | 132/163 [03:42<00:51,  1.66s/it]"
1656268081417,"82%|████████▏ | 133/163 [03:44<00:49,  1.66s/it]"
1656268083418,"82%|████████▏ | 134/163 [03:46<00:49,  1.71s/it]"
1656268085418,"83%|████████▎ | 135/163 [03:47<00:49,  1.78s/it]"
1656268086419,"83%|████████▎ | 136/163 [03:49<00:47,  1.77s/it]"
1656268088419,"84%|████████▍ | 137/163 [03:51<00:44,  1.71s/it]"
1656268090420,"85%|████████▍ | 138/163 [03:52<00:41,  1.68s/it]"
1656268091420,"85%|████████▌ | 139/163 [03:54<00:39,  1.64s/it]"
1656268093421,"86%|████████▌ | 140/163 [03:56<00:37,  1.64s/it]"
1656268094421,"87%|████████▋ | 141/163 [03:57<00:35,  1.63s/it]"
1656268096422,"87%|████████▋ | 142/163 [03:59<00:33,  1.62s/it]"
1656268098423,"88%|████████▊ | 143/163 [04:00<00:32,  1.62s/it]"
1656268099423,"88%|████████▊ | 144/163 [04:02<00:30,  1.62s/it]"
1656268101424,"89%|████████▉ | 145/163 [04:04<00:29,  1.63s/it]"
1656268102424,"90%|████████▉ | 146/163 [04:05<00:27,  1.62s/it]"
1656268104425,"90%|█████████ | 147/163 [04:07<00:25,  1.62s/it]"
1656268106426,"91%|█████████ | 148/163 [04:09<00:24,  1.63s/it]"
1656268107426,"91%|█████████▏| 149/163 [04:10<00:23,  1.67s/it]"
1656268109427,"92%|█████████▏| 150/163 [04:12<00:21,  1.68s/it]"
1656268111427,"93%|█████████▎| 151/163 [04:14<00:20,  1.72s/it]"
1656268113428,"93%|█████████▎| 152/163 [04:16<00:19,  1.73s/it]"
1656268114428,"94%|█████████▍| 153/163 [04:17<00:17,  1.72s/it]"
1656268116429,"94%|█████████▍| 154/163 [04:19<00:15,  1.75s/it]"
1656268118430,"95%|█████████▌| 155/163 [04:21<00:13,  1.70s/it]"
1656268119430,"96%|█████████▌| 156/163 [04:22<00:11,  1.68s/it]"
1656268121431,"96%|█████████▋| 157/163 [04:24<00:09,  1.64s/it]"
1656268123431,"97%|█████████▋| 158/163 [04:26<00:08,  1.66s/it]"
1656268125432,"98%|█████████▊| 159/163 [04:27<00:06,  1.71s/it]"
1656268126432,"98%|█████████▊| 160/163 [04:29<00:05,  1.73s/it]"
1656268128433,"99%|█████████▉| 161/163 [04:31<00:03,  1.78s/it]"
1656268130434,"99%|█████████▉| 162/163 [04:33<00:01,  1.80s/it]"
1656268132434,"100%|██████████| 163/163 [04:35<00:00,  1.75s/it]"
1656268135435,"PredictionOutput(predictions=array([[    2,     0,   627, ...,     1,     1,     1],
       [    2,     0,   627, ...,     1,     1,     1],
       [    2,     0, 13664, ...,     1,     1,     1],
       ...,
       [    2,     0,   459, ...,     1,     1,     1],
       [    2,     0,   118, ...,     1,     1,     1],
       [    2,     0, 36895, ...,     1,     1,     1]]), label_ids=array([[    0,   627,  6610, ...,     1,     1,     1],
       [    0,   627,  2834, ...,     1,     1,     1],
       [    0, 13664,   168, ...,     1,     1,     1],
       ...,
       [    0,   459, 25145, ...,     1,     1,     1],
       [    0,   417,  1342, ...,     1,     1,     1],
       [    0, 27739,  4195, ...,     1,     1,     1]]), metrics={'test_loss': 0.2608542740345001, 'test_rouge1': 60.403, 'test_rouge2': 47.9574, 'test_rougeL': 47.3275, 'test_rougeLsum': 47.3339, 'test_gen_len': 80.9969, 'test_runtime': 279.6373, 'test_samples_per_second': 1.166, 'test_steps_per_second': 0.583})"
1656268135436,"INFO:__main__:PredictionOutput(predictions=array([[    2,     0,   627, ...,     1,     1,     1],
       [    2,     0,   627, ...,     1,     1,     1],
       [    2,     0, 13664, ...,     1,     1,     1],
       ...,
       [    2,     0,   459, ...,     1,     1,     1],
       [    2,     0,   118, ...,     1,     1,     1],
       [    2,     0, 36895, ...,     1,     1,     1]]), label_ids=array([[    0,   627,  6610, ...,     1,     1,     1],
       [    0,   627,  2834, ...,     1,     1,     1],
       [    0, 13664,   168, ...,     1,     1,     1],
       ...,
       [    0,   459, 25145, ...,     1,     1,     1],
       [    0,   417,  1342, ...,     1,     1,     1],
       [    0, 27739,  4195, ...,     1,     1,     1]]), metrics={'test_loss': 0.2608542740345001, 'test_rouge1': 60.403, 'test_rouge2': 47.9574, 'test_rougeL': 47.3275, 'test_rougeLsum': 47.3339, 'test_gen_len': 80.9969, 'test_runtime': 279.6373, 'test_samples_per_second': 1.166, 'test_steps_per_second': 0.583})"
1656268135436,INFO:__main__:Removing unused checkpoints to save space in container
1656268135436,Removing unused checkpoints to save space in container
1656268135436,"100%|██████████| 163/163 [04:38<00:00,  1.71s/it]"
1656268136436,"2022-06-26 18:28:56,097 sagemaker-training-toolkit INFO     Reporting training SUCCESS"
