timestamp,message
1656263459511,"43%|████▎     | 70/163 [04:21<05:48,  3.75s/it]"
1656263462511,"44%|████▎     | 71/163 [04:25<05:45,  3.75s/it]"
1656263466513,"44%|████▍     | 72/163 [04:28<05:42,  3.76s/it]"
1656263470514,"45%|████▍     | 73/163 [04:32<05:39,  3.78s/it]"
1656263474515,"45%|████▌     | 74/163 [04:36<05:44,  3.87s/it]"
1656263478516,"46%|████▌     | 75/163 [04:40<05:36,  3.82s/it]"
1656263481517,"47%|████▋     | 76/163 [04:43<05:23,  3.72s/it]"
1656263485519,"47%|████▋     | 77/163 [04:47<05:21,  3.74s/it]"
1656263489520,"48%|████▊     | 78/163 [04:51<05:11,  3.67s/it]"
1656263492521,"48%|████▊     | 79/163 [04:54<05:06,  3.65s/it]"
1656263496522,"49%|████▉     | 80/163 [04:58<05:01,  3.63s/it]"
1656263499524,"50%|████▉     | 81/163 [05:02<04:59,  3.65s/it]"
1656263503525,"50%|█████     | 82/163 [05:05<04:55,  3.65s/it]"
1656263507526,"51%|█████     | 83/163 [05:09<04:50,  3.63s/it]"
1656263510527,"52%|█████▏    | 84/163 [05:13<04:48,  3.65s/it]"
1656263514528,"52%|█████▏    | 85/163 [05:16<04:40,  3.60s/it]"
1656263517529,"53%|█████▎    | 86/163 [05:19<04:33,  3.55s/it]"
1656263521531,"53%|█████▎    | 87/163 [05:23<04:28,  3.54s/it]"
1656263525532,"54%|█████▍    | 88/163 [05:27<04:41,  3.76s/it]"
1656263529533,"55%|█████▍    | 89/163 [05:31<04:38,  3.76s/it]"
1656263532534,"55%|█████▌    | 90/163 [05:35<04:32,  3.74s/it]"
1656263536536,"56%|█████▌    | 91/163 [05:38<04:31,  3.77s/it]"
1656263540537,"56%|█████▋    | 92/163 [05:42<04:26,  3.76s/it]"
1656263544538,"57%|█████▋    | 93/163 [05:46<04:21,  3.74s/it]"
1656263548540,"58%|█████▊    | 94/163 [05:50<04:19,  3.75s/it]"
1656263551541,"58%|█████▊    | 95/163 [05:54<04:18,  3.81s/it]"
1656263555542,"59%|█████▉    | 96/163 [05:57<04:12,  3.76s/it]"
1656263559543,"60%|█████▉    | 97/163 [06:01<04:09,  3.78s/it]"
1656263563544,"60%|██████    | 98/163 [06:05<04:08,  3.83s/it]"
1656263567545,"61%|██████    | 99/163 [06:09<04:02,  3.79s/it]"
1656263570546,"61%|██████▏   | 100/163 [06:12<03:56,  3.75s/it]"
1656263574547,"62%|██████▏   | 101/163 [06:16<03:53,  3.77s/it]"
1656263578549,"63%|██████▎   | 102/163 [06:20<03:52,  3.81s/it]"
1656263582550,"63%|██████▎   | 103/163 [06:24<03:50,  3.85s/it]"
1656263586551,"64%|██████▍   | 104/163 [06:28<03:52,  3.95s/it]"
1656263590553,"64%|██████▍   | 105/163 [06:32<03:41,  3.81s/it]"
1656263593554,"65%|██████▌   | 106/163 [06:35<03:35,  3.79s/it]"
1656263597555,"66%|██████▌   | 107/163 [06:39<03:28,  3.72s/it]"
1656263600556,"66%|██████▋   | 108/163 [06:43<03:21,  3.66s/it]"
1656263604558,"67%|██████▋   | 109/163 [06:46<03:16,  3.64s/it]"
1656263608559,"67%|██████▋   | 110/163 [06:50<03:16,  3.70s/it]"
1656263611560,"68%|██████▊   | 111/163 [06:54<03:10,  3.66s/it]"
1656263615562,"69%|██████▊   | 112/163 [06:57<03:04,  3.62s/it]"
1656263619563,"69%|██████▉   | 113/163 [07:01<03:02,  3.66s/it]"
1656263622564,"70%|██████▉   | 114/163 [07:04<02:58,  3.64s/it]"
1656263626565,"71%|███████   | 115/163 [07:08<02:52,  3.59s/it]"
1656263629566,"71%|███████   | 116/163 [07:11<02:47,  3.56s/it]"
1656263633568,"72%|███████▏  | 117/163 [07:15<02:45,  3.59s/it]"
1656263637569,"72%|███████▏  | 118/163 [07:19<02:44,  3.65s/it]"
1656263641570,"73%|███████▎  | 119/163 [07:23<02:43,  3.72s/it]"
1656263644571,"74%|███████▎  | 120/163 [07:27<02:43,  3.79s/it]"
1656263648573,"74%|███████▍  | 121/163 [07:30<02:36,  3.72s/it]"
1656263652574,"75%|███████▍  | 122/163 [07:34<02:30,  3.68s/it]"
1656263655575,"75%|███████▌  | 123/163 [07:37<02:24,  3.62s/it]"
1656263659576,"76%|███████▌  | 124/163 [07:41<02:23,  3.67s/it]"
1656263662577,"77%|███████▋  | 125/163 [07:45<02:17,  3.62s/it]"
1656263666579,"77%|███████▋  | 126/163 [07:48<02:17,  3.70s/it]"
1656263670580,"78%|███████▊  | 127/163 [07:52<02:14,  3.73s/it]"
1656263674581,"79%|███████▊  | 128/163 [07:56<02:12,  3.79s/it]"
1656263678583,"79%|███████▉  | 129/163 [08:00<02:08,  3.78s/it]"
1656263681583,"80%|███████▉  | 130/163 [08:03<02:01,  3.69s/it]"
1656263685585,"80%|████████  | 131/163 [08:07<02:00,  3.77s/it]"
1656263689586,"81%|████████  | 132/163 [08:11<01:56,  3.76s/it]"
1656263693587,"82%|████████▏ | 133/163 [08:15<01:53,  3.78s/it]"
1656263697588,"82%|████████▏ | 134/163 [08:19<01:50,  3.82s/it]"
1656263700589,"83%|████████▎ | 135/163 [08:23<01:45,  3.78s/it]"
1656263704591,"83%|████████▎ | 136/163 [08:27<01:44,  3.87s/it]"
1656263708592,"84%|████████▍ | 137/163 [08:30<01:38,  3.78s/it]"
1656263712593,"85%|████████▍ | 138/163 [08:34<01:33,  3.72s/it]"
1656263715595,"85%|████████▌ | 139/163 [08:37<01:28,  3.69s/it]"
1656263719596,"86%|████████▌ | 140/163 [08:41<01:23,  3.61s/it]"
1656263722597,"87%|████████▋ | 141/163 [08:45<01:20,  3.65s/it]"
1656263726598,"87%|████████▋ | 142/163 [08:48<01:16,  3.64s/it]"
